iter	PairLogit
0	0.6876574347
1	0.682289798
2	0.6770170893
3	0.6718371596
4	0.6667520645
5	0.6617796497
6	0.6569050593
7	0.6521153528
8	0.6473957212
9	0.6427559749
10	0.6381773337
11	0.6336981988
12	0.6293101145
13	0.6249850507
14	0.6207363685
15	0.6165565464
16	0.6124210117
17	0.6083765742
18	0.604401791
19	0.6005112845
20	0.5966845927
21	0.5928905559
22	0.5891631835
23	0.585495001
24	0.5818768986
25	0.5782956088
26	0.5747925692
27	0.5713153639
28	0.5678919293
29	0.5644991408
30	0.5611736241
31	0.5579175748
32	0.5547128204
33	0.5515207728
34	0.5483788988
35	0.5452849559
36	0.5422410932
37	0.539207368
38	0.5362504447
39	0.5333204769
40	0.5304420842
41	0.5275973741
42	0.5247587371
43	0.5219877924
44	0.5192833253
45	0.5166018428
46	0.5139570327
47	0.5113543143
48	0.5087861661
49	0.5061939588
50	0.503682945
51	0.5012079028
52	0.4987692995
53	0.4963365358
54	0.4939438082
55	0.4915876129
56	0.4892618768
57	0.4869434752
58	0.4846507677
59	0.482421221
60	0.4801963926
61	0.4780247743
62	0.4758556788
63	0.4737178366
64	0.471615499
65	0.4694907841
66	0.4674018074
67	0.4653788879
68	0.4633697498
69	0.4613906037
70	0.4594322932
71	0.4574426358
72	0.4555475795
73	0.4536360789
74	0.4517370517
75	0.4498409676
76	0.4480026718
77	0.4462193147
78	0.4444189528
79	0.4426501712
80	0.4408817634
81	0.439138022
82	0.437439689
83	0.4356847355
84	0.4339967736
85	0.4323440359
86	0.4307036314
87	0.4290970497
88	0.4275207403
89	0.425934854
90	0.424347426
91	0.4227351449
92	0.4211693467
93	0.419695767
94	0.4181930361
95	0.4166869416
96	0.4152052799
97	0.4136976438
98	0.4122609234
99	0.4108168218
100	0.4094176148
101	0.4079968715
102	0.4065939271
103	0.4052080343
104	0.4038373711
105	0.402483012
106	0.4011114612
107	0.3997947556
108	0.3984889349
109	0.3971806383
110	0.3959055104
111	0.3946313168
112	0.3933367081
113	0.3921259089
114	0.3908879207
115	0.3896634102
116	0.3884700128
117	0.3872856552
118	0.3861179753
119	0.3849236203
120	0.3837623406
121	0.3825932359
122	0.3814723894
123	0.3803566583
124	0.3792556196
125	0.3781434857
126	0.3770307212
127	0.375948883
128	0.374849199
129	0.3737926578
130	0.372741162
131	0.3716644392
132	0.3706244357
133	0.3695892206
134	0.3686139895
135	0.3676106584
136	0.3666275089
137	0.3656141804
138	0.3646436444
139	0.3636681564
140	0.3627069402
141	0.3617327836
